sb6;sb51;null;[sb76,1210.0,62.0,22.0,33.0]
sb63;null;sb76;[sb6,266.0,0.0,18.0,40.0]
sb8;null;sb6;[sb63,565.0,43.0,36.0,45.0]
sb66;null;sb63;[sb8,328.0,0.0,50.0,62.0]
sb93;null;sb8;[sb66,708.0,66.0,67.0,61.0]
sb29;null;sb66;[sb93,1897.0,33.0,35.0,65.0]
sb35;null;sb93;[sb29,1229.0,0.0,24.0,62.0]
sb30;null;sb29;[sb35,1395.0,0.0,31.0,38.0]
sb18;null;sb35;[sb30,1253.0,0.0,24.0,26.0]
sb77;null;sb30;[sb18,762.0,0.0,48.0,51.0]
sb70;null;sb18;[sb77,1232.0,62.0,66.0,57.0]
null;null;sb77;[sb70,925.0,50.0,42.0,42.0]
sb52;sb9;sb76;[sb51,114.0,34.0,38.0,57.0]
null;null;sb51;[sb52,152.0,67.0,54.0,45.0]
sb84;sb10;sb51;[sb9,378.0,0.0,16.0,41.0]
sb44;null;sb9;[sb84,1519.0,55.0,22.0,67.0]
sb98;null;sb84;[sb44,1736.0,0.0,65.0,47.0]
sb79;null;sb44;[sb98,149.0,112.0,22.0,62.0]
sb68;null;sb98;[sb79,1334.0,54.0,41.0,60.0]
sb64;null;sb79;[sb68,819.0,50.0,52.0,63.0]
sb75;null;sb68;[sb64,601.0,52.0,50.0,47.0]
sb83;null;sb64;[sb75,1191.0,46.0,19.0,28.0]
sb58;null;sb75;[sb83,1497.0,57.0,22.0,16.0]
sb42;null;sb83;[sb58,336.0,62.0,46.0,34.0]
sb57;null;sb58;[sb42,1613.0,0.0,62.0,53.0]
null;null;sb42;[sb57,318.0,62.0,18.0,47.0]
sb82;sb78;sb9;[sb10,394.0,0.0,18.0,52.0]
sb28;null;sb10;[sb82,1450.0,67.0,47.0,57.0]
sb40;null;sb82;[sb28,1190.0,0.0,39.0,46.0]
sb47;null;sb28;[sb40,1560.0,0.0,26.0,29.0]
sb97;null;sb40;[sb47,1863.0,0.0,65.0,33.0]
sb50;null;sb47;[sb97,132.0,91.0,17.0,67.0]
sb69;null;sb97;[sb50,47.0,37.0,32.0,67.0]
sb88;null;sb50;[sb69,871.0,50.0,27.0,54.0]
sb13;null;sb69;[sb88,1701.0,47.0,37.0,24.0]
