sb45;sb51;null;[sb61,358.0,237.0,33.0,23.0]
sb29;null;sb61;[sb45,188.0,186.0,23.0,44.0]
sb35;null;sb45;[sb29,119.0,91.0,24.0,62.0]
sb81;null;sb29;[sb35,285.0,59.0,31.0,38.0]
sb23;null;sb35;[sb81,76.0,392.0,40.0,50.0]
sb99;null;sb81;[sb23,431.0,59.0,20.0,49.0]
sb55;null;sb23;[sb99,79.0,511.0,49.0,66.0]
sb6;null;sb99;[sb55,153.0,214.0,34.0,56.0]
sb87;null;sb55;[sb6,266.0,0.0,40.0,18.0]
sb48;null;sb6;[sb87,328.0,363.0,39.0,44.0]
sb63;null;sb87;[sb48,315.0,179.0,57.0,27.0]
sb88;null;sb48;[sb63,0.0,264.0,36.0,45.0]
null;null;sb63;[sb88,0.0,374.0,37.0,24.0]
sb92;sb49;sb61;[sb51,0.0,207.0,38.0,57.0]
sb95;null;sb51;[sb92,170.0,443.0,26.0,16.0]
sb74;null;sb92;[sb95,302.0,407.0,51.0,19.0]
sb89;null;sb95;[sb74,186.0,354.0,38.0,42.0]
sb83;null;sb74;[sb89,37.0,450.0,38.0,27.0]
sb53;null;sb89;[sb83,163.0,421.0,22.0,16.0]
sb47;null;sb83;[sb53,92.0,214.0,43.0,21.0]
sb38;null;sb53;[sb47,250.0,153.0,65.0,33.0]
sb8;null;sb47;[sb38,375.0,112.0,23.0,57.0]
sb20;null;sb38;[sb8,328.0,0.0,50.0,62.0]
sb54;null;sb8;[sb20,281.0,40.0,37.0,19.0]
sb22;null;sb20;[sb54,135.0,214.0,18.0,61.0]
null;null;sb54;[sb22,382.0,59.0,49.0,34.0]
sb67;sb2;sb51;[sb49,372.0,172.0,47.0,65.0]
sb93;null;sb49;[sb67,210.0,277.0,44.0,40.0]
sb12;null;sb67;[sb93,196.0,443.0,65.0,35.0]
sb85;null;sb93;[sb12,451.0,0.0,61.0,28.0]
sb98;null;sb12;[sb85,252.0,363.0,20.0,25.0]
sb30;null;sb85;[sb98,57.0,483.0,22.0,62.0]
sb27;null;sb98;[sb30,143.0,133.0,24.0,26.0]
sb77;null;sb30;[sb27,55.0,89.0,25.0,65.0]
sb80;null;sb27;[sb77,265.0,306.0,66.0,57.0]
sb37;null;sb77;[sb80,60.0,392.0,16.0,58.0]
sb60;null;sb80;[sb37,355.0,112.0,20.0,60.0]
sb65;null;sb37;[sb60,318.0,206.0,23.0,40.0]
null;null;sb60;[sb65,86.0,275.0,57.0,56.0]
sb42;sb13;sb49;[sb2,108.0,0.0,53.0,34.0]
sb34;null;sb2;[sb42,0.0,154.0,62.0,53.0]
sb90;null;sb42;[sb34,258.0,99.0,27.0,54.0]
sb58;null;sb34;[sb90,75.0,450.0,39.0,33.0]
sb66;null;sb90;[sb58,222.0,208.0,46.0,34.0]
sb14;null;sb58;[sb66,143.0,293.0,67.0,61.0]
sb78;null;sb66;[sb14,0.0,37.0,43.0,63.0]
sb4;null;sb14;[sb78,331.0,302.0,36.0,32.0]
sb9;null;sb78;[sb4,198.0,0.0,19.0,29.0]
sb69;null;sb4;[sb9,378.0,0.0,16.0,41.0]
sb57;null;sb9;[sb69,306.0,260.0,54.0,27.0]
null;null;sb69;[sb57,204.0,230.0,18.0,47.0]
sb36;sb70;sb2;[sb13,512.0,0.0,48.0,57.0]
sb5;null;sb13;[sb36,316.0,112.0,39.0,67.0]
sb21;null;sb36;[sb5,227.0,0.0,39.0,49.0]
sb28;null;sb5;[sb21,318.0,62.0,64.0,50.0]
sb73;null;sb21;[sb28,80.0,89.0,39.0,46.0]
sb50;null;sb28;[sb73,125.0,354.0,61.0,67.0]
sb97;null;sb73;[sb50,419.0,163.0,32.0,67.0]
sb1;null;sb50;[sb97,40.0,477.0,17.0,67.0]
sb52;null;sb97;[sb1,43.0,0.0,65.0,37.0]
sb71;null;sb1;[sb52,38.0,207.0,54.0,45.0]
sb10;null;sb52;[sb71,0.0,311.0,22.0,64.0]
null;null;sb71;[sb10,394.0,0.0,18.0,52.0]
sb62;sb3;sb13;[sb70,360.0,260.0,42.0,42.0]
sb33;null;sb70;[sb62,391.0,237.0,60.0,19.0]
sb15;null;sb62;[sb33,236.0,100.0,22.0,35.0]
sb43;null;sb33;[sb15,63.0,37.0,59.0,52.0]
