sb93;sb30;null;[sb17,718.0,0.0,44.0,66.0]
sb11;null;sb17;[sb93,563.0,118.0,65.0,35.0]
sb68;null;sb93;[sb11,412.0,0.0,39.0,59.0]
sb61;null;sb11;[sb68,1129.0,65.0,63.0,52.0]
sb62;null;sb68;[sb61,782.0,51.0,23.0,33.0]
sb97;null;sb61;[sb62,815.0,50.0,19.0,60.0]
sb27;null;sb62;[sb97,760.0,89.0,17.0,67.0]
sb8;null;sb97;[sb27,1165.0,0.0,25.0,65.0]
sb1;null;sb27;[sb8,328.0,0.0,62.0,50.0]
sb49;null;sb8;[sb1,43.0,0.0,65.0,37.0]
sb41;null;sb1;[sb49,310.0,62.0,47.0,65.0]
sb46;null;sb49;[sb41,1586.0,0.0,55.0,27.0]
sb47;null;sb41;[sb46,149.0,67.0,22.0,39.0]
sb70;null;sb46;[sb47,188.0,67.0,33.0,65.0]
sb87;null;sb47;[sb70,1235.0,62.0,42.0,42.0]
null;null;sb70;[sb87,328.0,127.0,39.0,44.0]
sb75;sb77;sb17;[sb30,1253.0,0.0,24.0,26.0]
sb54;null;sb30;[sb75,1501.0,57.0,19.0,28.0]
sb86;null;sb75;[sb54,559.0,57.0,61.0,18.0]
sb83;null;sb54;[sb86,272.0,127.0,37.0,56.0]
sb20;null;sb86;[sb83,163.0,89.0,16.0,22.0]
sb76;null;sb83;[sb20,841.0,0.0,37.0,19.0]
sb29;null;sb20;[sb76,1520.0,55.0,22.0,33.0]
sb15;null;sb76;[sb29,1229.0,0.0,24.0,62.0]
sb96;null;sb29;[sb15,623.0,0.0,59.0,52.0]
sb18;null;sb15;[sb96,720.0,103.0,40.0,66.0]
sb80;null;sb96;[sb18,762.0,0.0,51.0,48.0]
sb9;null;sb18;[sb80,60.0,84.0,16.0,58.0]
sb82;null;sb80;[sb9,378.0,0.0,16.0,41.0]
sb99;null;sb9;[sb82,116.0,89.0,47.0,57.0]
sb53;null;sb82;[sb99,799.0,74.0,49.0,66.0]
sb6;null;sb99;[sb53,516.0,57.0,21.0,43.0]
sb56;null;sb53;[sb6,266.0,0.0,40.0,18.0]
sb12;null;sb6;[sb56,611.0,52.0,17.0,63.0]
sb63;null;sb56;[sb12,451.0,0.0,28.0,61.0]
null;null;sb12;[sb63,875.0,50.0,36.0,45.0]
sb81;sb55;sb30;[sb77,1542.0,55.0,57.0,66.0]
sb23;null;sb77;[sb81,76.0,84.0,40.0,50.0]
sb64;null;sb81;[sb23,991.0,0.0,49.0,20.0]
sb78;null;sb23;[sb64,911.0,50.0,47.0,50.0]
sb74;null;sb64;[sb78,1608.0,55.0,36.0,32.0]
sb35;null;sb78;[sb74,1463.0,67.0,42.0,38.0]
sb10;null;sb74;[sb35,1395.0,0.0,31.0,38.0]
sb24;null;sb35;[sb10,394.0,0.0,18.0,52.0]
sb3;null;sb10;[sb24,1011.0,0.0,28.0,45.0]
sb32;null;sb24;[sb3,161.0,0.0,37.0,67.0]
sb14;null;sb3;[sb32,1303.0,0.0,53.0,43.0]
sb52;null;sb32;[sb14,560.0,0.0,43.0,63.0]
sb34;null;sb14;[sb52,462.0,57.0,45.0,54.0]
sb73;null;sb52;[sb34,1368.0,0.0,27.0,54.0]
sb43;null;sb34;[sb73,1402.0,67.0,61.0,67.0]
null;null;sb73;[sb43,0.0,37.0,46.0,61.0]
sb58;sb98;sb77;[sb55,577.0,43.0,34.0,56.0]
sb44;null;sb55;[sb58,646.0,57.0,34.0,46.0]
sb67;null;sb58;[sb44,61.0,37.0,47.0,65.0]
sb22;null;sb44;[sb67,1085.0,40.0,44.0,40.0]
sb33;null;sb67;[sb22,942.0,0.0,49.0,34.0]
sb5;null;sb22;[sb33,1346.0,0.0,22.0,35.0]
sb31;null;sb33;[sb5,227.0,0.0,49.0,39.0]
sb0;null;sb5;[sb31,1277.0,0.0,34.0,26.0]
sb50;null;sb31;[sb0,0.0,0.0,43.0,33.0]
sb71;null;sb0;[sb50,357.0,62.0,32.0,67.0]
sb85;null;sb50;[sb71,1277.0,53.0,22.0,64.0]
sb2;null;sb71;[sb85,252.0,100.0,20.0,25.0]
sb69;null;sb85;[sb2,108.0,0.0,53.0,34.0]
sb4;null;sb2;[sb69,1181.0,65.0,54.0,27.0]
sb94;null;sb69;[sb4,198.0,0.0,19.0,29.0]
sb40;null;sb4;[sb94,628.0,99.0,59.0,41.0]
null;null;sb94;[sb40,1560.0,0.0,29.0,26.0]
sb7;sb37;sb55;[sb98,777.0,89.0,62.0,22.0]
sb16;null;sb98;[sb7,306.0,0.0,22.0,40.0]
sb38;null;sb7;[sb16,682.0,0.0,57.0,36.0]
sb90;null;sb16;[sb38,1485.0,0.0,23.0,57.0]
sb79;null;sb38;[sb90,442.0,116.0,33.0,39.0]
sb45;null;sb90;[sb79,0.0,83.0,41.0,60.0]
sb65;null;sb79;[sb45,126.0,34.0,23.0,44.0]
sb59;null;sb45;[sb65,961.0,49.0,57.0,56.0]
sb72;null;sb65;[sb59,692.0,66.0,50.0,37.0]
sb25;null;sb59;[sb72,1341.0,54.0,61.0,61.0]
sb42;null;sb72;[sb25,1056.0,0.0,54.0,39.0]
sb89;null;sb25;[sb42,1613.0,0.0,53.0,62.0]
sb21;null;sb42;[sb89,404.0,116.0,38.0,27.0]
sb84;null;sb89;[sb21,878.0,0.0,50.0,64.0]
null;null;sb21;[sb84,185.0,100.0,22.0,67.0]
null;sb28;sb98;[sb37,1465.0,0.0,60.0,20.0]
sb13;null;sb37;[sb28,1190.0,0.0,39.0,46.0]
sb66;null;sb28;[sb13,512.0,0.0,48.0,57.0]
sb88;null;sb13;[sb66,1018.0,39.0,61.0,67.0]
sb95;null;sb66;[sb88,367.0,94.0,37.0,24.0]
sb39;null;sb88;[sb95,669.0,103.0,19.0,51.0]
sb48;null;sb95;[sb39,1508.0,0.0,55.0,52.0]
sb91;null;sb39;[sb48,253.0,49.0,27.0,57.0]
sb92;null;sb48;[sb91,481.0,102.0,56.0,33.0]
sb60;null;sb91;[sb92,537.0,118.0,16.0,26.0]
sb57;null;sb92;[sb60,742.0,66.0,40.0,23.0]
sb19;null;sb60;[sb57,628.0,52.0,47.0,18.0]
sb26;null;sb57;[sb19,810.0,0.0,31.0,50.0]
sb51;null;sb19;[sb26,1110.0,0.0,55.0,40.0]
sb36;null;sb26;[sb51,424.0,59.0,38.0,57.0]
null;null;sb51;[sb36,1426.0,0.0,67.0,39.0]
