sb1;sb22;null;[sb0,0.0,0.0,27.0,15.0]
sb2;null;sb0;[sb1,27.0,0.0,27.0,16.0]
sb3;null;sb1;[sb2,54.0,0.0,22.0,26.0]
sb4;null;sb2;[sb3,76.0,0.0,21.0,45.0]
sb5;null;sb3;[sb4,97.0,0.0,40.0,45.0]
sb6;null;sb4;[sb5,137.0,0.0,16.0,26.0]
sb7;null;sb5;[sb6,153.0,0.0,38.0,27.0]
sb8;null;sb6;[sb7,191.0,0.0,35.0,29.0]
sb9;null;sb7;[sb8,226.0,0.0,21.0,36.0]
sb10;null;sb8;[sb9,247.0,0.0,44.0,25.0]
sb11;null;sb9;[sb10,291.0,0.0,15.0,31.0]
sb13;null;sb10;[sb11,306.0,0.0,41.0,24.0]
sb14;null;sb11;[sb13,364.0,0.0,33.0,48.0]
sb15;null;sb13;[sb14,397.0,0.0,44.0,21.0]
sb16;null;sb14;[sb15,441.0,0.0,34.0,15.0]
sb17;null;sb15;[sb16,475.0,0.0,45.0,42.0]
sb18;null;sb16;[sb17,520.0,0.0,41.0,37.0]
sb19;null;sb17;[sb18,561.0,0.0,43.0,44.0]
sb20;null;sb18;[sb19,604.0,0.0,36.0,23.0]
sb21;null;sb19;[sb20,640.0,0.0,13.0,17.0]
null;null;sb20;[sb21,653.0,0.0,28.0,44.0]
sb23;sb47;sb0;[sb22,681.0,0.0,35.0,29.0]
sb24;null;sb22;[sb23,716.0,0.0,40.0,17.0]
sb25;null;sb23;[sb24,756.0,0.0,18.0,24.0]
sb26;null;sb24;[sb25,774.0,0.0,29.0,43.0]
sb156;null;sb25;[sb26,803.0,0.0,27.0,18.0]
sb28;null;sb26;[sb156,398.0,122.0,28.0,16.0]
sb29;null;sb156;[sb28,868.0,0.0,24.0,12.0]
sb30;null;sb28;[sb29,892.0,0.0,29.0,30.0]
sb31;null;sb29;[sb30,921.0,0.0,20.0,28.0]
sb32;null;sb30;[sb31,941.0,0.0,32.0,36.0]
sb33;null;sb31;[sb32,973.0,0.0,19.0,22.0]
sb34;null;sb32;[sb33,992.0,0.0,45.0,46.0]
sb35;null;sb33;[sb34,1037.0,0.0,29.0,12.0]
sb36;null;sb34;[sb35,1066.0,0.0,12.0,26.0]
sb37;null;sb35;[sb36,1078.0,0.0,27.0,30.0]
sb38;null;sb36;[sb37,1105.0,0.0,12.0,29.0]
sb39;null;sb37;[sb38,1117.0,0.0,21.0,19.0]
sb40;null;sb38;[sb39,1138.0,0.0,12.0,13.0]
sb41;null;sb39;[sb40,1150.0,0.0,19.0,47.0]
sb42;null;sb40;[sb41,1169.0,0.0,36.0,19.0]
sb43;null;sb41;[sb42,1205.0,0.0,46.0,25.0]
sb44;null;sb42;[sb43,1251.0,0.0,39.0,21.0]
sb45;null;sb43;[sb44,1290.0,0.0,27.0,24.0]
sb46;null;sb44;[sb45,1317.0,0.0,24.0,25.0]
null;null;sb45;[sb46,1341.0,0.0,19.0,13.0]
sb48;sb68;sb22;[sb47,1360.0,0.0,42.0,40.0]
sb49;null;sb47;[sb48,1402.0,0.0,28.0,34.0]
sb50;null;sb48;[sb49,1430.0,0.0,24.0,48.0]
sb51;null;sb49;[sb50,1454.0,0.0,19.0,14.0]
sb52;null;sb50;[sb51,1473.0,0.0,14.0,16.0]
sb53;null;sb51;[sb52,0.0,16.0,37.0,18.0]
sb54;null;sb52;[sb53,37.0,26.0,36.0,12.0]
sb55;null;sb53;[sb54,73.0,45.0,30.0,34.0]
sb56;null;sb54;[sb55,103.0,45.0,26.0,31.0]
sb57;null;sb55;[sb56,129.0,45.0,46.0,31.0]
