sb51;sb94;null;[sb97,0.0,0.0,67.0,17.0]
sb49;null;sb97;[sb51,0.0,0.0,38.0,57.0]
sb66;null;sb51;[sb49,0.0,0.0,47.0,65.0]
sb72;null;sb49;[sb66,0.0,0.0,61.0,67.0]
sb73;null;sb66;[sb72,0.0,0.0,61.0,61.0]
sb4;null;sb72;[sb73,0.0,0.0,61.0,67.0]
sb64;null;sb73;[sb4,0.0,0.0,29.0,19.0]
sb20;null;sb4;[sb64,0.0,0.0,47.0,50.0]
sb1;null;sb64;[sb20,0.0,0.0,19.0,37.0]
sb55;null;sb20;[sb1,0.0,0.0,37.0,65.0]
sb25;null;sb1;[sb55,0.0,0.0,34.0,56.0]
sb79;null;sb55;[sb25,0.0,0.0,54.0,39.0]
sb42;null;sb25;[sb79,0.0,0.0,60.0,41.0]
sb22;null;sb79;[sb42,0.0,0.0,62.0,53.0]
sb59;null;sb42;[sb22,0.0,0.0,34.0,49.0]
sb60;null;sb22;[sb59,0.0,0.0,50.0,37.0]
sb39;null;sb59;[sb60,0.0,0.0,23.0,40.0]
sb17;null;sb60;[sb39,0.0,0.0,55.0,52.0]
sb8;null;sb39;[sb17,0.0,0.0,66.0,44.0]
sb96;null;sb17;[sb8,0.0,0.0,50.0,62.0]
null;null;sb8;[sb96,0.0,0.0,40.0,66.0]
sb61;sb65;sb97;[sb94,0.0,0.0,59.0,41.0]
sb12;null;sb94;[sb61,0.0,0.0,23.0,33.0]
sb70;null;sb61;[sb12,0.0,0.0,61.0,28.0]
sb89;null;sb12;[sb70,0.0,0.0,42.0,42.0]
sb93;null;sb70;[sb89,0.0,0.0,27.0,38.0]
sb67;null;sb89;[sb93,0.0,0.0,65.0,35.0]
sb76;null;sb93;[sb67,0.0,0.0,40.0,44.0]
sb54;null;sb67;[sb76,0.0,0.0,33.0,22.0]
sb23;null;sb76;[sb54,0.0,0.0,61.0,18.0]
sb40;null;sb54;[sb23,0.0,0.0,20.0,49.0]
sb95;null;sb23;[sb40,0.0,0.0,29.0,26.0]
sb9;null;sb40;[sb95,0.0,0.0,51.0,19.0]
sb84;null;sb95;[sb9,0.0,0.0,16.0,41.0]
sb75;null;sb9;[sb84,0.0,0.0,22.0,67.0]
sb68;null;sb84;[sb75,0.0,0.0,19.0,28.0]
sb45;null;sb75;[sb68,0.0,0.0,52.0,63.0]
sb21;null;sb68;[sb45,0.0,0.0,23.0,44.0]
sb34;null;sb45;[sb21,0.0,0.0,50.0,64.0]
sb48;null;sb21;[sb34,0.0,0.0,54.0,27.0]
sb19;null;sb34;[sb48,0.0,0.0,27.0,57.0]
sb32;null;sb48;[sb19,0.0,0.0,50.0,31.0]
sb15;null;sb19;[sb32,0.0,0.0,43.0,53.0]
sb31;null;sb32;[sb15,0.0,0.0,59.0,52.0]
sb2;null;sb15;[sb31,0.0,0.0,26.0,34.0]
sb10;null;sb31;[sb2,0.0,0.0,34.0,53.0]
null;null;sb2;[sb10,0.0,0.0,18.0,52.0]
sb14;sb81;sb94;[sb65,0.0,0.0,57.0,56.0]
sb29;null;sb65;[sb14,0.0,0.0,43.0,63.0]
sb69;null;sb14;[sb29,0.0,0.0,62.0,24.0]
