sb3;sb90;null;[sb48,0.0,0.0,27.0,57.0]
sb64;null;sb48;[sb3,0.0,0.0,37.0,67.0]
sb66;null;sb3;[sb64,0.0,0.0,47.0,50.0]
sb34;null;sb64;[sb66,0.0,0.0,61.0,67.0]
sb77;null;sb66;[sb34,0.0,0.0,54.0,27.0]
sb73;null;sb34;[sb77,0.0,0.0,57.0,66.0]
sb51;null;sb77;[sb73,0.0,0.0,61.0,67.0]
sb4;null;sb73;[sb51,0.0,0.0,38.0,57.0]
sb8;null;sb51;[sb4,0.0,0.0,19.0,29.0]
sb53;null;sb4;[sb8,0.0,0.0,62.0,50.0]
sb25;null;sb8;[sb53,0.0,0.0,21.0,43.0]
sb79;null;sb53;[sb25,0.0,0.0,54.0,39.0]
sb42;null;sb25;[sb79,0.0,0.0,60.0,41.0]
sb16;null;sb79;[sb42,0.0,0.0,53.0,62.0]
sb31;null;sb42;[sb16,0.0,0.0,36.0,57.0]
sb59;null;sb16;[sb31,0.0,0.0,26.0,34.0]
sb60;null;sb31;[sb59,0.0,0.0,37.0,50.0]
sb20;null;sb59;[sb60,0.0,0.0,23.0,40.0]
sb94;null;sb60;[sb20,0.0,0.0,19.0,37.0]
sb27;null;sb20;[sb94,0.0,0.0,59.0,41.0]
sb97;null;sb94;[sb27,0.0,0.0,65.0,25.0]
sb24;null;sb27;[sb97,0.0,0.0,67.0,17.0]
null;null;sb97;[sb24,0.0,0.0,28.0,45.0]
sb33;sb65;sb48;[sb90,0.0,0.0,39.0,33.0]
sb49;null;sb90;[sb33,0.0,0.0,22.0,35.0]
sb89;null;sb33;[sb49,0.0,0.0,47.0,65.0]
sb93;null;sb49;[sb89,0.0,0.0,27.0,38.0]
sb67;null;sb89;[sb93,0.0,0.0,65.0,35.0]
sb76;null;sb93;[sb67,0.0,0.0,40.0,44.0]
sb54;null;sb67;[sb76,0.0,0.0,33.0,22.0]
sb23;null;sb76;[sb54,0.0,0.0,61.0,18.0]
sb19;null;sb54;[sb23,0.0,0.0,20.0,49.0]
sb95;null;sb23;[sb19,0.0,0.0,31.0,50.0]
sb9;null;sb19;[sb95,0.0,0.0,19.0,51.0]
sb18;null;sb95;[sb9,0.0,0.0,16.0,41.0]
sb41;null;sb9;[sb18,0.0,0.0,48.0,51.0]
sb2;null;sb18;[sb41,0.0,0.0,27.0,55.0]
sb68;null;sb41;[sb2,0.0,0.0,34.0,53.0]
sb45;null;sb2;[sb68,0.0,0.0,52.0,63.0]
sb21;null;sb68;[sb45,0.0,0.0,23.0,44.0]
sb71;null;sb45;[sb21,0.0,0.0,50.0,64.0]
sb72;null;sb21;[sb71,0.0,0.0,22.0,64.0]
sb40;null;sb71;[sb72,0.0,0.0,61.0,61.0]
sb14;null;sb72;[sb40,0.0,0.0,26.0,29.0]
sb0;null;sb40;[sb14,0.0,0.0,63.0,43.0]
sb1;null;sb14;[sb0,0.0,0.0,33.0,43.0]
sb32;null;sb0;[sb1,0.0,0.0,37.0,65.0]
sb58;null;sb1;[sb32,0.0,0.0,43.0,53.0]
sb88;null;sb32;[sb58,0.0,0.0,34.0,46.0]
null;null;sb58;[sb88,0.0,0.0,24.0,37.0]
sb29;sb81;sb90;[sb65,0.0,0.0,56.0,57.0]
sb35;null;sb65;[sb29,0.0,0.0,62.0,24.0]
sb78;null;sb29;[sb35,0.0,0.0,38.0,31.0]
sb46;null;sb35;[sb78,0.0,0.0,36.0,32.0]
sb12;null;sb78;[sb46,0.0,0.0,39.0,22.0]
sb26;null;sb46;[sb12,0.0,0.0,61.0,28.0]
sb6;null;sb12;[sb26,0.0,0.0,40.0,55.0]
sb82;null;sb26;[sb6,0.0,0.0,18.0,40.0]
sb86;null;sb6;[sb82,0.0,0.0,57.0,47.0]
sb57;null;sb82;[sb86,0.0,0.0,37.0,56.0]
sb50;null;sb86;[sb57,0.0,0.0,47.0,18.0]
sb62;null;sb57;[sb50,0.0,0.0,67.0,32.0]
sb91;null;sb50;[sb62,0.0,0.0,19.0,60.0]
sb70;null;sb62;[sb91,0.0,0.0,56.0,33.0]
sb56;null;sb91;[sb70,0.0,0.0,42.0,42.0]
sb15;null;sb70;[sb56,0.0,0.0,63.0,17.0]
sb36;null;sb56;[sb15,0.0,0.0,59.0,52.0]
sb55;null;sb15;[sb36,0.0,0.0,67.0,39.0]
sb47;null;sb36;[sb55,0.0,0.0,34.0,56.0]
sb22;null;sb55;[sb47,0.0,0.0,33.0,65.0]
sb98;null;sb47;[sb22,0.0,0.0,34.0,49.0]
sb69;null;sb22;[sb98,0.0,0.0,22.0,62.0]
null;null;sb98;[sb69,0.0,0.0,27.0,54.0]
sb44;null;sb65;[sb81,0.0,0.0,50.0,40.0]
sb17;null;sb81;[sb44,0.0,0.0,65.0,47.0]
sb38;null;sb44;[sb17,0.0,0.0,66.0,44.0]
sb75;null;sb17;[sb38,0.0,0.0,23.0,57.0]
sb83;null;sb38;[sb75,0.0,0.0,28.0,19.0]
sb39;null;sb75;[sb83,0.0,0.0,16.0,22.0]
sb85;null;sb83;[sb39,0.0,0.0,55.0,52.0]
sb5;null;sb39;[sb85,0.0,0.0,20.0,25.0]
sb74;null;sb85;[sb5,0.0,0.0,49.0,39.0]
sb43;null;sb5;[sb74,0.0,0.0,42.0,38.0]
sb84;null;sb74;[sb43,0.0,0.0,61.0,46.0]
sb37;null;sb43;[sb84,0.0,0.0,22.0,67.0]
sb52;null;sb84;[sb37,0.0,0.0,20.0,60.0]
sb28;null;sb37;[sb52,0.0,0.0,54.0,45.0]
sb61;null;sb52;[sb28,0.0,0.0,39.0,46.0]
sb11;null;sb28;[sb61,0.0,0.0,23.0,33.0]
sb10;null;sb61;[sb11,0.0,0.0,59.0,39.0]
sb7;null;sb11;[sb10,0.0,0.0,18.0,52.0]
sb87;null;sb10;[sb7,0.0,0.0,22.0,40.0]
sb63;null;sb7;[sb87,0.0,0.0,39.0,44.0]
