sb18;sb78;null;[sb6,266.0,0.0,40.0,18.0]
sb1;null;sb6;[sb18,762.0,0.0,48.0,51.0]
sb96;null;sb18;[sb1,43.0,0.0,65.0,37.0]
sb39;null;sb1;[sb96,92.0,91.0,66.0,40.0]
sb98;null;sb96;[sb39,1508.0,0.0,55.0,52.0]
sb26;null;sb39;[sb98,149.0,112.0,22.0,62.0]
sb42;null;sb98;[sb26,1110.0,0.0,40.0,55.0]
sb57;null;sb26;[sb42,1613.0,0.0,62.0,53.0]
sb77;null;sb42;[sb57,318.0,62.0,18.0,47.0]
sb97;null;sb57;[sb77,1232.0,62.0,57.0,66.0]
sb56;null;sb77;[sb97,132.0,91.0,17.0,67.0]
null;null;sb97;[sb56,301.0,40.0,17.0,63.0]
sb37;sb7;sb6;[sb78,1298.0,53.0,36.0,32.0]
null;null;sb78;[sb37,1465.0,0.0,60.0,20.0]
sb44;sb10;sb78;[sb7,306.0,0.0,22.0,40.0]
sb74;null;sb7;[sb44,1736.0,0.0,65.0,47.0]
sb84;null;sb44;[sb74,1153.0,65.0,38.0,42.0]
sb11;null;sb74;[sb84,1519.0,55.0,22.0,67.0]
sb31;null;sb84;[sb11,412.0,0.0,39.0,59.0]
sb67;null;sb11;[sb31,1277.0,0.0,26.0,34.0]
sb50;null;sb31;[sb67,775.0,51.0,44.0,40.0]
sb61;null;sb67;[sb50,47.0,37.0,67.0,32.0]
sb94;null;sb50;[sb61,472.0,28.0,33.0,23.0]
sb60;null;sb61;[sb94,0.0,102.0,59.0,41.0]
sb40;null;sb94;[sb60,432.0,59.0,40.0,23.0]
null;null;sb60;[sb40,1560.0,0.0,26.0,29.0]
sb90;sb15;sb7;[sb10,394.0,0.0,52.0,18.0]
sb53;null;sb10;[sb90,1776.0,47.0,39.0,33.0]
sb47;null;sb90;[sb53,206.0,49.0,43.0,21.0]
sb79;null;sb53;[sb47,1863.0,0.0,65.0,33.0]
sb17;null;sb47;[sb79,1334.0,54.0,41.0,60.0]
sb24;null;sb79;[sb17,718.0,0.0,44.0,66.0]
sb72;null;sb17;[sb24,1011.0,0.0,28.0,45.0]
sb29;null;sb24;[sb72,1031.0,39.0,61.0,61.0]
sb82;null;sb72;[sb29,1229.0,0.0,24.0,62.0]
sb58;null;sb29;[sb82,1450.0,67.0,57.0,47.0]
null;null;sb82;[sb58,336.0,62.0,46.0,34.0]
sb46;sb59;sb10;[sb15,623.0,0.0,52.0,59.0]
sb75;null;sb15;[sb46,1824.0,0.0,22.0,39.0]
