sb40;sb16;null;[sb24,319.0,58.0,27.0,66.0]
sb0;null;sb24;[sb40,396.0,177.0,26.0,36.0]
sb49;null;sb40;[sb0,0.0,0.0,96.0,94.0]
sb4;null;sb0;[sb49,933.0,170.0,42.0,86.0]
sb30;null;sb49;[sb4,244.0,0.0,75.0,92.0]
sb15;null;sb4;[sb30,725.0,72.0,56.0,93.0]
sb6;null;sb30;[sb15,772.0,0.0,96.0,72.0]
sb36;null;sb15;[sb6,383.0,0.0,36.0,31.0]
sb41;null;sb6;[sb36,94.0,170.0,63.0,82.0]
sb38;null;sb36;[sb41,422.0,177.0,26.0,68.0]
sb37;null;sb41;[sb38,230.0,172.0,74.0,87.0]
sb28;null;sb38;[sb37,157.0,172.0,43.0,73.0]
sb35;null;sb37;[sb28,596.0,80.0,44.0,87.0]
sb12;null;sb28;[sb35,0.0,170.0,94.0,88.0]
sb8;null;sb35;[sb12,614.0,0.0,39.0,58.0]
sb13;null;sb12;[sb8,464.0,0.0,38.0,80.0]
sb42;null;sb8;[sb13,653.0,0.0,50.0,92.0]
sb48;null;sb13;[sb42,448.0,177.0,66.0,85.0]
sb17;null;sb42;[sb48,851.0,170.0,63.0,82.0]
sb14;null;sb48;[sb17,910.0,0.0,61.0,94.0]
sb29;null;sb17;[sb14,745.0,0.0,27.0,28.0]
sb19;null;sb14;[sb29,683.0,50.0,42.0,88.0]
sb45;null;sb29;[sb19,1041.0,0.0,30.0,86.0]
sb31;null;sb19;[sb45,684.0,138.0,30.0,28.0]
null;null;sb45;[sb31,818.0,72.0,42.0,81.0]
sb27;null;sb24;[sb16,868.0,0.0,42.0,43.0]
sb5;null;sb16;[sb27,503.0,80.0,93.0,75.0]
sb23;null;sb27;[sb5,319.0,0.0,64.0,58.0]
sb22;null;sb5;[sb23,255.0,92.0,64.0,80.0]
sb39;null;sb23;[sb22,181.0,92.0,74.0,80.0]
sb10;null;sb22;[sb39,304.0,177.0,62.0,92.0]
sb21;null;sb39;[sb10,545.0,0.0,26.0,51.0]
sb25;null;sb10;[sb21,87.0,94.0,76.0,94.0]
sb43;null;sb21;[sb25,385.0,91.0,82.0,86.0]
sb44;null;sb25;[sb43,514.0,155.0,42.0,85.0]
sb1;null;sb43;[sb44,599.0,138.0,85.0,74.0]
sb33;null;sb44;[sb1,96.0,0.0,26.0,78.0]
sb46;null;sb1;[sb33,904.0,94.0,63.0,76.0]
sb7;null;sb33;[sb46,714.0,138.0,30.0,56.0]
sb18;null;sb46;[sb7,419.0,0.0,45.0,91.0]
sb20;null;sb7;[sb18,971.0,0.0,70.0,72.0]
sb34;null;sb18;[sb20,0.0,94.0,49.0,87.0]
sb9;null;sb20;[sb34,967.0,94.0,32.0,67.0]
sb11;null;sb34;[sb9,502.0,0.0,43.0,64.0]
sb47;null;sb9;[sb11,571.0,0.0,43.0,80.0]
sb2;null;sb11;[sb47,770.0,153.0,51.0,81.0]
sb26;null;sb47;[sb2,122.0,0.0,26.0,76.0]
sb3;null;sb2;[sb26,467.0,80.0,36.0,49.0]
sb32;null;sb26;[sb3,148.0,0.0,25.0,96.0]
null;null;sb3;[sb32,860.0,72.0,44.0,38.0]
