sb4;sb56;null;[sb97,644.0,89.0,17.0,67.0]
sb7;null;sb97;[sb4,198.0,0.0,29.0,19.0]
sb78;null;sb4;[sb7,306.0,0.0,22.0,40.0]
sb94;null;sb7;[sb78,1547.0,55.0,36.0,32.0]
sb42;null;sb78;[sb94,512.0,120.0,41.0,59.0]
sb99;null;sb94;[sb42,1613.0,0.0,62.0,53.0]
sb92;null;sb42;[sb99,683.0,89.0,49.0,66.0]
sb64;null;sb99;[sb92,421.0,104.0,16.0,26.0]
sb27;null;sb92;[sb64,850.0,50.0,50.0,47.0]
sb59;null;sb64;[sb27,1165.0,0.0,25.0,65.0]
sb71;null;sb27;[sb59,631.0,52.0,50.0,37.0]
sb73;null;sb59;[sb71,1216.0,62.0,22.0,64.0]
null;null;sb71;[sb73,1341.0,54.0,61.0,67.0]
sb20;sb29;sb97;[sb56,550.0,57.0,17.0,63.0]
sb88;null;sb56;[sb20,841.0,0.0,37.0,19.0]
sb3;null;sb20;[sb88,251.0,114.0,37.0,24.0]
sb43;null;sb88;[sb3,161.0,0.0,37.0,67.0]
sb60;null;sb3;[sb43,1675.0,0.0,61.0,46.0]
sb37;null;sb43;[sb60,681.0,66.0,23.0,40.0]
sb70;null;sb60;[sb37,1465.0,0.0,20.0,60.0]
sb68;null;sb37;[sb70,1174.0,65.0,42.0,42.0]
sb34;null;sb70;[sb68,1068.0,40.0,52.0,63.0]
sb82;null;sb68;[sb34,1368.0,0.0,27.0,54.0]
sb16;null;sb34;[sb82,0.0,84.0,47.0,57.0]
sb45;null;sb82;[sb16,682.0,0.0,36.0,57.0]
null;null;sb16;[sb45,65.0,37.0,23.0,44.0]
sb23;sb0;sb56;[sb29,1229.0,0.0,24.0,62.0]
sb86;null;sb29;[sb23,991.0,0.0,20.0,49.0]
sb81;null;sb23;[sb86,156.0,100.0,37.0,56.0]
sb80;null;sb86;[sb81,1659.0,53.0,40.0,50.0]
sb79;null;sb81;[sb80,1643.0,53.0,16.0,58.0]
sb75;null;sb80;[sb79,1583.0,55.0,41.0,60.0]
sb19;null;sb79;[sb75,1440.0,67.0,19.0,28.0]
sb14;null;sb75;[sb19,810.0,0.0,31.0,50.0]
sb66;null;sb19;[sb14,560.0,0.0,63.0,43.0]
sb61;null;sb14;[sb66,957.0,49.0,67.0,61.0]
sb57;null;sb66;[sb61,721.0,66.0,23.0,33.0]
sb12;null;sb61;[sb57,567.0,43.0,18.0,47.0]
sb49;null;sb57;[sb12,451.0,0.0,28.0,61.0]
null;null;sb12;[sb49,249.0,49.0,47.0,65.0]
sb84;sb69;sb29;[sb0,0.0,0.0,43.0,33.0]
sb40;null;sb0;[sb84,69.0,100.0,67.0,22.0]
sb48;null;sb84;[sb40,1560.0,0.0,26.0,29.0]
sb90;null;sb40;[sb48,192.0,67.0,57.0,27.0]
sb52;null;sb48;[sb90,326.0,119.0,39.0,33.0]
sb8;null;sb90;[sb52,401.0,59.0,54.0,45.0]
sb77;null;sb52;[sb8,328.0,0.0,50.0,62.0]
sb95;null;sb8;[sb77,1481.0,60.0,66.0,57.0]
sb76;null;sb77;[sb95,553.0,120.0,19.0,51.0]
sb6;null;sb95;[sb76,1459.0,67.0,22.0,33.0]
null;null;sb76;[sb6,266.0,0.0,40.0,18.0]
sb54;sb93;sb0;[sb69,1120.0,65.0,54.0,27.0]
sb5;null;sb69;[sb54,498.0,57.0,18.0,61.0]
sb33;null;sb54;[sb5,227.0,0.0,39.0,49.0]
sb72;null;sb5;[sb33,1346.0,0.0,22.0,35.0]
sb1;null;sb33;[sb72,1280.0,53.0,61.0,61.0]
sb10;null;sb72;[sb1,43.0,0.0,37.0,65.0]
sb44;null;sb1;[sb10,394.0,0.0,18.0,52.0]
sb85;null;sb10;[sb44,0.0,37.0,47.0,65.0]
sb28;null;sb44;[sb85,136.0,100.0,20.0,25.0]
sb51;null;sb85;[sb28,1190.0,0.0,39.0,46.0]
