sb1;sb14;null;[sb0,0.0,0.0,43.0,33.0]
sb2;null;sb0;[sb1,43.0,0.0,65.0,37.0]
sb58;null;sb1;[sb2,108.0,0.0,53.0,34.0]
sb4;null;sb2;[sb58,497.0,57.0,46.0,34.0]
sb5;null;sb58;[sb4,198.0,0.0,29.0,19.0]
sb7;null;sb4;[sb5,227.0,0.0,39.0,49.0]
sb8;null;sb5;[sb7,306.0,0.0,22.0,40.0]
sb9;null;sb7;[sb8,328.0,0.0,50.0,62.0]
sb10;null;sb8;[sb9,378.0,0.0,16.0,41.0]
sb11;null;sb9;[sb10,394.0,0.0,18.0,52.0]
sb12;null;sb10;[sb11,412.0,0.0,39.0,59.0]
sb13;null;sb11;[sb12,451.0,0.0,61.0,28.0]
null;null;sb12;[sb13,512.0,0.0,48.0,57.0]
sb15;sb26;sb0;[sb14,560.0,0.0,63.0,43.0]
sb16;null;sb14;[sb15,623.0,0.0,59.0,52.0]
sb17;null;sb15;[sb16,682.0,0.0,36.0,57.0]
sb18;null;sb16;[sb17,718.0,0.0,44.0,66.0]
sb19;null;sb17;[sb18,762.0,0.0,48.0,51.0]
sb20;null;sb18;[sb19,810.0,0.0,31.0,50.0]
sb21;null;sb19;[sb20,841.0,0.0,37.0,19.0]
sb22;null;sb20;[sb21,878.0,0.0,64.0,50.0]
sb23;null;sb21;[sb22,942.0,0.0,49.0,34.0]
sb24;null;sb22;[sb23,991.0,0.0,20.0,49.0]
sb25;null;sb23;[sb24,1011.0,0.0,28.0,45.0]
null;null;sb24;[sb25,1056.0,0.0,54.0,39.0]
sb27;sb42;sb14;[sb26,1110.0,0.0,55.0,40.0]
sb28;null;sb26;[sb27,1165.0,0.0,25.0,65.0]
sb29;null;sb27;[sb28,1190.0,0.0,39.0,46.0]
sb30;null;sb28;[sb29,1229.0,0.0,24.0,62.0]
sb31;null;sb29;[sb30,1253.0,0.0,24.0,26.0]
sb32;null;sb30;[sb31,1277.0,0.0,26.0,34.0]
