sb38;sb39;null;[sb81,1659.0,53.0,50.0,40.0]
sb95;null;sb81;[sb38,1485.0,0.0,57.0,23.0]
sb63;null;sb38;[sb95,553.0,120.0,51.0,19.0]
sb51;null;sb95;[sb63,814.0,50.0,45.0,36.0]
sb0;null;sb63;[sb51,363.0,62.0,57.0,38.0]
sb28;null;sb51;[sb0,0.0,0.0,33.0,43.0]
sb11;null;sb0;[sb28,1190.0,0.0,46.0,39.0]
sb8;null;sb28;[sb11,412.0,0.0,59.0,39.0]
sb41;null;sb11;[sb8,328.0,0.0,50.0,62.0]
sb21;null;sb8;[sb41,1586.0,0.0,27.0,55.0]
null;null;sb41;[sb21,878.0,0.0,64.0,50.0]
sb86;sb45;sb81;[sb39,1508.0,0.0,55.0,52.0]
sb96;null;sb39;[sb86,156.0,100.0,56.0,37.0]
sb78;null;sb86;[sb96,604.0,89.0,40.0,66.0]
sb92;null;sb96;[sb78,1547.0,55.0,36.0,32.0]
sb55;null;sb78;[sb92,421.0,104.0,16.0,26.0]
sb85;null;sb92;[sb55,516.0,57.0,56.0,34.0]
sb40;null;sb55;[sb85,136.0,100.0,25.0,20.0]
sb23;null;sb85;[sb40,1560.0,0.0,26.0,29.0]
sb67;null;sb40;[sb23,991.0,0.0,20.0,49.0]
sb34;null;sb23;[sb67,1024.0,39.0,40.0,44.0]
sb93;null;sb67;[sb34,1368.0,0.0,27.0,54.0]
sb14;null;sb34;[sb93,447.0,118.0,35.0,65.0]
sb79;null;sb93;[sb14,560.0,0.0,43.0,63.0]
null;null;sb14;[sb79,1583.0,55.0,60.0,41.0]
sb68;sb35;sb39;[sb45,65.0,37.0,23.0,44.0]
sb1;null;sb45;[sb68,1068.0,40.0,63.0,52.0]
sb32;null;sb68;[sb1,43.0,0.0,65.0,37.0]
sb44;null;sb1;[sb32,1303.0,0.0,43.0,53.0]
sb99;null;sb32;[sb44,0.0,37.0,65.0,47.0]
sb13;null;sb44;[sb99,683.0,89.0,49.0,66.0]
sb87;null;sb99;[sb13,512.0,0.0,48.0,57.0]
sb62;null;sb13;[sb87,212.0,114.0,39.0,44.0]
sb83;null;sb87;[sb62,754.0,66.0,60.0,19.0]
sb42;null;sb62;[sb83,47.0,84.0,22.0,16.0]
null;null;sb83;[sb42,1613.0,0.0,62.0,53.0]
sb47;sb75;sb45;[sb35,1395.0,0.0,38.0,31.0]
sb72;null;sb35;[sb47,127.0,67.0,65.0,33.0]
sb15;null;sb47;[sb72,1280.0,53.0,61.0,61.0]
sb6;null;sb72;[sb15,623.0,0.0,52.0,59.0]
sb50;null;sb15;[sb6,266.0,0.0,18.0,40.0]
sb69;null;sb6;[sb50,296.0,62.0,67.0,32.0]
sb27;null;sb50;[sb69,1120.0,65.0,54.0,27.0]
sb59;null;sb69;[sb27,1165.0,0.0,65.0,25.0]
sb82;null;sb27;[sb59,631.0,52.0,37.0,50.0]
sb29;null;sb59;[sb82,0.0,84.0,57.0,47.0]
null;null;sb82;[sb29,1229.0,0.0,24.0,62.0]
sb64;sb33;sb35;[sb75,1440.0,67.0,28.0,19.0]
sb70;null;sb75;[sb64,850.0,50.0,50.0,47.0]
sb65;null;sb64;[sb70,1174.0,65.0,42.0,42.0]
sb74;null;sb70;[sb65,900.0,50.0,57.0,56.0]
sb4;null;sb65;[sb74,1402.0,67.0,38.0,42.0]
sb2;null;sb74;[sb4,198.0,0.0,29.0,19.0]
sb19;null;sb4;[sb2,108.0,0.0,53.0,34.0]
sb46;null;sb2;[sb19,810.0,0.0,31.0,50.0]
sb17;null;sb19;[sb46,88.0,37.0,39.0,22.0]
sb76;null;sb46;[sb17,718.0,0.0,44.0,66.0]
sb18;null;sb17;[sb76,1459.0,67.0,22.0,33.0]
sb10;null;sb76;[sb18,762.0,0.0,51.0,48.0]
sb91;null;sb18;[sb10,394.0,0.0,18.0,52.0]
null;null;sb10;[sb91,365.0,119.0,33.0,56.0]
null;sb31;sb75;[sb33,1346.0,0.0,22.0,35.0]
sb94;sb12;sb33;[sb31,1277.0,0.0,26.0,34.0]
sb56;null;sb31;[sb94,512.0,120.0,41.0,59.0]
sb25;null;sb94;[sb56,550.0,57.0,63.0,17.0]
sb22;null;sb56;[sb25,1056.0,0.0,54.0,39.0]
sb66;null;sb25;[sb22,942.0,0.0,34.0,49.0]
sb43;null;sb22;[sb66,957.0,49.0,67.0,61.0]
sb26;null;sb66;[sb43,1675.0,0.0,61.0,46.0]
sb16;null;sb43;[sb26,1110.0,0.0,55.0,40.0]
sb61;null;sb26;[sb16,682.0,0.0,57.0,36.0]
sb5;null;sb16;[sb61,721.0,66.0,23.0,33.0]
null;null;sb61;[sb5,227.0,0.0,49.0,39.0]
sb54;sb88;sb31;[sb12,451.0,0.0,61.0,28.0]
sb71;null;sb12;[sb54,498.0,57.0,61.0,18.0]
sb90;null;sb54;[sb71,1216.0,62.0,64.0,22.0]
sb84;null;sb71;[sb90,326.0,119.0,33.0,39.0]
sb48;null;sb90;[sb84,69.0,100.0,22.0,67.0]
sb30;null;sb84;[sb48,192.0,67.0,27.0,57.0]
sb80;null;sb48;[sb30,1253.0,0.0,24.0,26.0]
sb9;null;sb30;[sb80,1643.0,53.0,58.0,16.0]
sb58;null;sb80;[sb9,378.0,0.0,41.0,16.0]
sb89;null;sb9;[sb58,585.0,52.0,46.0,34.0]
sb73;null;sb58;[sb89,288.0,114.0,27.0,38.0]
null;null;sb89;[sb73,1341.0,54.0,67.0,61.0]
sb20;sb60;sb12;[sb88,251.0,114.0,24.0,37.0]
sb24;null;sb88;[sb20,841.0,0.0,37.0,19.0]
sb36;null;sb20;[sb24,1011.0,0.0,45.0,28.0]
sb53;null;sb24;[sb36,1426.0,0.0,67.0,39.0]
sb98;null;sb36;[sb53,455.0,28.0,21.0,43.0]
sb3;null;sb53;[sb98,661.0,89.0,22.0,62.0]
sb57;null;sb98;[sb3,161.0,0.0,67.0,37.0]
sb49;null;sb3;[sb57,567.0,43.0,18.0,47.0]
sb77;null;sb57;[sb49,249.0,49.0,47.0,65.0]
sb52;null;sb49;[sb77,1481.0,60.0,66.0,57.0]
null;null;sb77;[sb52,401.0,59.0,45.0,54.0]
sb7;null;sb88;[sb60,681.0,66.0,40.0,23.0]
sb37;null;sb60;[sb7,306.0,0.0,22.0,40.0]
sb97;null;sb7;[sb37,1465.0,0.0,60.0,20.0]
null;null;sb37;[sb97,644.0,89.0,67.0,17.0]
